sellprice,year,km_driven,fuel,seller_type,transmission,owner,mileage(kmpl),engine(CC),maxpower(bhp),seats
0.43,2013,63000,Diesel,Individual,Manual,First Owner,23.4,1248,74,5
0.85,2018,50000,Petrol,Individual,Manual,First Owner,17,1198,108.5,5
0.65,2017,120000,Diesel,Individual,Manual,Second Owner,23.59,1364,67.04,5
0.42,2013,21000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5
0.0675,2006,110000,Diesel,Individual,Manual,Fourth & Above Owner,17.88,1396,17.88,5
0.8,2015,70000,Diesel,Individual,Manual,First Owner,15.4,1997,120,7
0.65,2014,60000,Petrol,Individual,Manual,First Owner,17.8,1497,117.3,5
0.07,2011,40000,Petrol,Individual,Manual,First Owner,26,624,26,4
0.265,2012,130376,Diesel,Dealer,Manual,Second Owner,23.2,1248,73.94,5
0.311,2010,94000,Diesel,Individual,Manual,Second Owner,21.1,1248,75,5
0.15,2011,35000,Petrol,Individual,Manual,First Owner,18,995,18,5
0.065,2006,198000,Petrol,Individual,Manual,Second Owner,18.9,998,18.9,5
0.47,2014,60000,Diesel,Individual,Manual,First Owner,23.4,1248,74,5
0.5,2015,126000,Diesel,Individual,Manual,First Owner,21.19,1396,88.73,5
0.385,2017,155000,Diesel,Individual,Manual,First Owner,25,1396,69.01,5
0.5,2016,56000,Petrol,Individual,Manual,Third Owner,18.9,1197,82,5
0.95,2015,30000,Petrol,Individual,Automatic,First Owner,18,1497,117.3,5
0.545,2018,10000,Petrol,Dealer,Automatic,First Owner,23.1,998,67.04,5
0.425,2012,90000,Diesel,Individual,Manual,First Owner,20.5,1598,103.5,5
0.29,2017,10000,Petrol,Individual,Manual,Second Owner,23.95,998,67.05,5
1.8,2016,30000,Diesel,Individual,Automatic,First Owner,11.36,2755,171.5,7
0.7,2017,70000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5
5.5,2018,22000,Diesel,Individual,Automatic,First Owner,17.09,2993,261.4,4
1.1,2015,70000,Diesel,Individual,Manual,First Owner,15.4,2179,120,7
0.65,2016,85000,Diesel,Dealer,Manual,First Owner,24.4,1499,98.96,5
0.29,2017,40000,Diesel,Individual,Manual,First Owner,25,1396,69,5
0.52,2019,14000,Petrol,Individual,Manual,First Owner,20.3,1199,84,5
0.6,2017,26634,Petrol,Dealer,Automatic,First Owner,21.21,1197,81.8,5
0.045,2008,70000,Petrol,Individual,Manual,First Owner,18,995,18,5
2.625,2017,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177,5
0.33,2020,70000,Petrol,Individual,Manual,Second Owner,18.9,1197,81.86,5
0.35,2011,25000,Petrol,Individual,Manual,Second Owner,16.95,1498,97.7,5
0.245,2007,121000,Diesel,Individual,Manual,Second Owner,18.1,1493,110,5
0.25,2010,37944,Diesel,Individual,Manual,First Owner,18.4,1248,75,5
0.3,2016,5000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5
0.95,2013,49700,Diesel,Individual,Manual,First Owner,15.1,2179,140,7
0.55,2016,70000,Diesel,Individual,Manual,First Owner,20.14,1498,88,5
0.16,2009,35000,Petrol,Individual,Manual,First Owner,19.81,1086,19.81,5
0.95,2017,20000,Petrol,Individual,Manual,First Owner,17,1591,121.3,5
0.035,2003,35000,Petrol,Individual,Manual,Second Owner,16.1,796,16.1,4
0.07,2011,80000,Petrol,Individual,Manual,First Owner,26,624,26,4
0.47,2017,30000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5
0.675,2019,5000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5
0.6,2018,69779,Petrol,Dealer,Automatic,First Owner,22,1197,81.8,5
0.11,2007,120000,Petrol,Individual,Manual,Third Owner,19.7,796,19.7,5
0.185,2013,85000,Petrol,Individual,Manual,First Owner,22.74,796,22.74,5
0.495,2015,30000,Petrol,Dealer,Manual,First Owner,18.6,1197,81.83,5
0.891,2017,80000,Diesel,Individual,Manual,First Owner,15.4,2179,120,7
0.13,2005,140000,Petrol,Individual,Manual,Second Owner,18.9,998,18.9,5
0.25,2015,80000,Diesel,Individual,Manual,Second Owner,19.09,1405,69.01,5
0.45,2012,72000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5
1.2,2019,40000,Diesel,Individual,Manual,First Owner,25.6,1498,97.9,5
0.81,2020,15000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
0.16,2007,74800,Petrol,Individual,Manual,Second Owner,18.2,998,18.2,5
0.225,2015,71850,Petrol,Individual,Manual,First Owner,20.63,1198,67,5
0.335,2014,33033,Petrol,Dealer,Manual,First Owner,19.4,1198,86.8,5
0.04,1999,50000,Petrol,Individual,Manual,Second Owner,16.1,796,16.1,4
3.975,2018,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968,188,5
0.4,2017,26000,Petrol,Individual,Manual,First Owner,23.84,1199,84,5
0.15,2011,80000,Petrol,Individual,Manual,Third Owner,15.37,1196,15.37,5
1.265,2018,12000,Diesel,Individual,Manual,First Owner,20.37,1461,108.45,5
0.12,2004,80000,Petrol,Individual,Manual,Second Owner,17.3,993,17.3,5
0.85,2016,58000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5
0.7,2018,42000,Petrol,Individual,Automatic,First Owner,18.6,1368,98.63,5
0.88,2015,120000,Diesel,Individual,Manual,Second Owner,19.67,1582,126.2,5
0.975,2015,100000,Diesel,Individual,Manual,First Owner,16,2179,140,7
0.385,2016,40000,Petrol,Individual,Manual,Second Owner,16.2,1199,74,5
0.225,2011,35000,Petrol,Individual,Manual,First Owner,15,1368,90,5
0.36,2009,100000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5
3.25,2014,33000,Diesel,Individual,Automatic,First Owner,11.3,2987,254.8,7
0.5,2015,120000,Diesel,Individual,Manual,First Owner,26.59,1248,74,5
0.416,2015,40000,Petrol,Individual,Automatic,First Owner,17.01,1499,110.4,5
0.15,2005,120000,Petrol,Individual,Manual,First Owner,13.2,1495,13.2,5
0.85,2017,63186,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
0.15,2010,90000,Diesel,Individual,Manual,First Owner,17,1405,17,5
0.135,2006,70000,Petrol,Individual,Manual,Second Owner,15.9,1298,15.9,5
0.229999,2015,120000,Diesel,Individual,Manual,Second Owner,19.1,1405,70,5
0.9,2018,30000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,5
0.37,2011,110000,Diesel,Individual,Manual,Second Owner,13.6,2523,63,7
0.55,2017,25000,Petrol,Individual,Manual,First Owner,18.9,1197,82,5
0.65,2019,15000,Diesel,Individual,Manual,First Owner,22.95,1248,74,5
0.54,2016,15500,Petrol,Individual,Manual,First Owner,16.78,1496,88.73,5
1.95,2020,2700,Diesel,Dealer,Automatic,First Owner,17.01,1582,126.2,5
0.155,2011,80000,Diesel,Individual,Manual,Third Owner,20,1399,20,5
0.325,2017,40000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
0.15,2009,75000,Petrol,Individual,Manual,Second Owner,15,1368,15,5
0.525,2016,40000,Diesel,Individual,Manual,Second Owner,26.59,1248,74,5
0.265,2016,50000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
0.215,2011,100000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,5
0.48,2013,42462,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,5
0.3,2012,45000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,5
0.12,2009,70000,Petrol,Individual,Manual,Second Owner,18.9,1061,18.9,5
0.5,2014,90000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
0.75,2018,50000,Diesel,Individual,Manual,First Owner,16.5,1493,70,7
0.204999,2012,120000,Diesel,Individual,Manual,Second Owner,19.09,1396,69,5
0.325,2013,120000,Diesel,Individual,Manual,First Owner,23.59,1364,67.06,5
0.5,2014,120000,Diesel,Individual,Manual,Second Owner,23.4,1248,74,5
0.411,2011,64481,Diesel,Dealer,Manual,Second Owner,20.5,1598,103.5,5
0.32,2012,107825,Diesel,Individual,Manual,Second Owner,21.9,1396,90,5
0.5,2017,80000,Diesel,Individual,Manual,Second Owner,23.08,1461,63.1,5
0.45,2013,140000,Petrol,Individual,Manual,First Owner,16.02,1373,93.7,7
0.585,2017,90000,Diesel,Individual,Manual,First Owner,25.2,1248,74,5
0.525,2012,135000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,7
0.215,2010,120000,Diesel,Individual,Manual,Third Owner,23,1396,90,5
0.229999,2009,90000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5
0.275,2011,120000,Diesel,Individual,Manual,Second Owner,17.8,1399,68,5
0.75,2017,60000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5
0.235,2011,60000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5
0.85,2016,72113,Diesel,Individual,Manual,First Owner,21.9,1498,98.6,7
0.229999,2013,230000,Diesel,Individual,Manual,First Owner,20,1399,68.1,5
0.3,2011,70000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,7
0.6,2015,40000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
0.38,2012,100000,Diesel,Individual,Manual,Second Owner,22.9,1248,74,5
3.2,2017,13663,Diesel,Dealer,Automatic,First Owner,22.69,1995,190,5
0.45,2011,110000,Petrol,Individual,Manual,Third Owner,16.8,1497,116.4,5
0.55,2015,90000,Diesel,Individual,Manual,First Owner,20.14,1498,88.8,5
0.34,2010,110000,Diesel,Individual,Manual,Third Owner,17.8,1248,75,5
0.24,2016,59300,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
0.2,2015,40000,Diesel,Individual,Manual,First Owner,25.44,936,56.3,5
0.39,2018,25000,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,5
0.7,2016,50000,Diesel,Individual,Manual,First Owner,18.49,1493,100,7
0.4,2015,40000,Petrol,Individual,Automatic,First Owner,18.9,1197,82,5
0.6,2016,90000,Diesel,Individual,Manual,Second Owner,19.87,1461,83.8,5
0.16,2010,100000,Petrol,Individual,Manual,Third Owner,20.92,998,20.92,5
3,2014,65000,Diesel,Individual,Automatic,First Owner,12.07,2967,241.4,7
2.475,2018,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150,5
0.1,2008,120000,Diesel,Individual,Manual,First Owner,19.09,1396,19.09,5
0.78,2018,35000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
0.65,2013,64000,Diesel,Dealer,Automatic,First Owner,14.62,1498,113.42,5
0.085,2007,80000,Petrol,Individual,Manual,Second Owner,18.2,998,18.2,5
0.39,2017,20000,Petrol,Individual,Manual,First Owner,23.84,1199,84,5
0.22,2016,22000,Petrol,Individual,Automatic,First Owner,21.9,624,37.48,4
0.227999,2013,60000,Diesel,Individual,Manual,Second Owner,25,1396,69.01,5
0.55,2016,37000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5
0.229999,2010,168000,Diesel,Individual,Manual,First Owner,14,2498,112,7
0.509999,2013,148000,Diesel,Individual,Manual,First Owner,20.77,1248,88.8,7
0.75,2013,79328,Diesel,Dealer,Manual,Second Owner,12.99,2494,100.6,7
0.42,2013,40000,Diesel,Individual,Manual,Second Owner,25.8,1498,98.6,5
0.65,2019,30000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
0.35,2011,93000,Diesel,Individual,Manual,Second Owner,21.9,1396,90,5
0.45,2017,40000,Petrol,Individual,Automatic,First Owner,24.04,999,67,5
0.825,2011,125000,Diesel,Individual,Manual,Second Owner,14.66,2199,194.3,7
0.325,2012,90000,Diesel,Individual,Manual,First Owner,22.9,1248,74,5
0.155,2009,110000,Diesel,Individual,Manual,Third Owner,17.7,1399,17.7,5
0.43,2011,120000,Diesel,Individual,Manual,Second Owner,12.05,2179,120,8
0.36,2016,60000,Diesel,Individual,Manual,Second Owner,20.5,1248,91.7,5
0.575,2018,20000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
0.425,2012,100000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5
0.52,2017,20000,Petrol,Individual,Manual,First Owner,23.84,1199,84,5
4.1,2017,17000,Petrol,Individual,Automatic,First Owner,9.5,3604,280,5
0.337,2011,142000,Diesel,Individual,Manual,Third Owner,13.7,2179,138.1,7
0.72,2014,80000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.6,8
0.38,2014,35000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
0.62,2018,70000,Diesel,Individual,Manual,First Owner,25.4,1186,73.97,5
0.11,2004,110000,Petrol,Individual,Manual,Second Owner,14.4,1599,14.4,5
1.75,2016,52000,Diesel,Dealer,Automatic,First Owner,12.55,2982,168.5,7
0.31,2018,7000,Petrol,Individual,Manual,First Owner,22.5,999,67,5
0.55,2015,45000,Diesel,Dealer,Manual,First Owner,28.4,1248,74,5
0.35,2012,80000,Petrol,Individual,Manual,First Owner,17.92,1086,62.1,5
0.869999,2014,217000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.6,7
0.5,2011,99500,Diesel,Individual,Manual,Third Owner,11.5,1991,147.9,7
0.246,2010,120000,Diesel,Individual,Manual,First Owner,18.8,1248,90,5
0.4,2017,30000,Petrol,Individual,Automatic,Second Owner,23.1,998,67.04,5
0.63,2019,15000,Diesel,Individual,Manual,Second Owner,28.4,1248,74,5
0.675,2016,120000,Diesel,Individual,Manual,Second Owner,26.59,1248,74,5
0.07,2004,70000,Petrol,Individual,Manual,Second Owner,18.9,998,18.9,5
0.4,2016,100000,Diesel,Individual,Manual,First Owner,22.95,1248,74,5
0.275,2016,38000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5
0.625,2013,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5
1.1,2017,37000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5
0.5,2018,35000,Diesel,Individual,Manual,First Owner,25.4,1186,73.97,5
0.745,2017,10000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,5
0.71,2016,60000,Diesel,Individual,Manual,First Owner,18.06,2523,63,7
0.4,2015,110000,Diesel,Individual,Manual,First Owner,14.95,2489,93.7,7
0.3,2014,35000,Petrol,Individual,Manual,First Owner,20.52,1197,81.8,5
1.65,2016,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7
0.17,2012,90000,Petrol,Individual,Manual,Third Owner,20.92,998,20.92,5
0.225,2012,80000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,5
0.17,2010,120000,Petrol,Individual,Manual,Second Owner,18.5,1197,18.5,5
0.3,2017,20000,Petrol,Individual,Manual,First Owner,22.5,999,67,5
0.25,2012,120000,Diesel,Individual,Manual,Third Owner,21.8,1461,78,5
0.21,2010,43000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,5
0.148,2010,70000,Petrol,Individual,Manual,Third Owner,14.7,1150,14.7,5
0.9,2017,65000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5
2.475,2018,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150,5
0.18,2010,187000,Diesel,Dealer,Manual,Second Owner,17.8,1399,17.8,5
0.15,2011,120000,Diesel,Individual,Manual,First Owner,19.4,1405,19.4,5
0.09,2009,60000,Diesel,Individual,Manual,Second Owner,17.88,1396,17.88,5
1.2,2019,25000,Diesel,Individual,Manual,First Owner,20,1497,115,5
0.58,2015,90000,Diesel,Individual,Manual,First Owner,20.45,1461,83.8,5
0.35,2012,30000,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,5
0.52,2017,28832,Diesel,Dealer,Manual,First Owner,23.4,1248,74,5
0.31,2012,120000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5
0.095,2008,120000,Petrol,Individual,Manual,First Owner,19.7,796,19.7,5
0.2,2009,90000,Petrol,Individual,Automatic,Second Owner,12.6,1586,103.3,5
0.65,2016,40000,Petrol,Individual,Manual,First Owner,17.43,1396,105.5,5
5.4,2019,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190,5
0.22,2011,70000,Petrol,Individual,Manual,First Owner,18.5,1197,80,5
0.45,2016,15000,Petrol,Individual,Manual,Second Owner,18.15,1198,82,6
0.565,2014,111000,Diesel,Individual,Manual,First Owner,20.34,1498,103.2,5
0.345,2013,100000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5
4.09,2016,70000,Diesel,Dealer,Automatic,First Owner,12,2987,224,7
0.125,2009,120000,Diesel,Individual,Manual,Third Owner,19.2,1461,19.2,5
0.175,2012,120000,Diesel,Individual,Manual,Second Owner,20,1399,20,5
2.1,2019,5000,Petrol,Individual,Automatic,First Owner,16,1368,160.77,5
0.98,2014,120000,Diesel,Individual,Manual,Second Owner,15.1,2179,140,7
0.45,2017,56290,Diesel,Dealer,Manual,First Owner,24,1186,73.97,5
0.45,2015,100000,Diesel,Individual,Manual,First Owner,25.2,1248,73.94,5
0.27,2019,2300,Petrol,Individual,Manual,First Owner,22.7,799,53.64,5
1.7,2015,78000,Diesel,Individual,Manual,Second Owner,12.55,2982,168.5,7
0.5,2019,10000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
5.15,2019,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5
0.55,2018,10000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
0.415,2014,46000,Petrol,Dealer,Manual,First Owner,21.63,998,67.04,5
0.66,2018,74250,Diesel,Dealer,Manual,First Owner,21,1498,74.96,7
0.488,2016,80000,Petrol,Individual,Manual,Second Owner,20.85,1197,83.14,5
0.05,2004,18000,Petrol,Individual,Manual,Second Owner,16.1,796,16.1,4
0.32,2012,55885,Petrol,Dealer,Manual,First Owner,16.25,1198,75,5
0.15,2010,120000,Diesel,Individual,Manual,Second Owner,21.12,1248,21.12,5
0.19,2014,60000,Petrol,Individual,Manual,First Owner,19,998,67.1,5
0.55,2015,50000,Diesel,Dealer,Manual,Second Owner,28.09,1248,88.5,5
0.645,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5
0.645,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5
0.55,2018,5000,Petrol,Individual,Manual,First Owner,22,1197,81.8,5
0.25,2013,100000,Diesel,Individual,Manual,First Owner,23.57,1396,70,5
0.2,2012,80000,Diesel,Individual,Manual,Second Owner,20.8,1461,65,5
0.07,2006,110000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,998,18.9,5
1.075,2019,8600,Diesel,Dealer,Manual,First Owner,17.3,1497,121,7
0.62,2015,33000,Diesel,Individual,Manual,First Owner,20.14,1498,88.8,5
0.204999,2011,100000,Diesel,Individual,Manual,Second Owner,20,1399,68,5
0.25,2008,100000,Petrol,Individual,Manual,First Owner,15.2,1193,65,5
0.27,2017,50000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
0.235,2010,100000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.1,7
0.275,2018,20000,Petrol,Individual,Manual,First Owner,23.01,999,67,5
0.045,2005,55425,Petrol,Individual,Manual,Second Owner,16.1,796,16.1,4
0.235,2013,52000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5
0.225,2012,110000,Diesel,Individual,Manual,Second Owner,20.8,1461,65,5
0.35,2013,144000,Diesel,Individual,Manual,First Owner,21.9,1396,88.8,5
0.21,2014,35000,Petrol,Individual,Manual,Second Owner,16.7,1172,64.1,5
0.245,2013,70000,Diesel,Individual,Manual,Second Owner,20,1399,68.1,5
1.689999,2016,120000,Diesel,Individual,Manual,First Owner,13.68,2393,147.8,8
0.59,2014,70000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5
0.645,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5
0.285,2018,22000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5
0.25,2009,80000,Petrol,Individual,Manual,Second Owner,12.9,1598,102.5,5
0.625,2015,50000,Diesel,Individual,Manual,First Owner,26.59,1248,74,5
1.4,2017,70000,Diesel,Individual,Manual,First Owner,17.6,2179,153.86,7
1.2,2019,40000,Diesel,Individual,Manual,First Owner,22,1582,126.2,5
0.415,2013,60000,Petrol,Individual,Manual,Second Owner,18.5,1197,85.8,5
1.09,2013,151000,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,7
0.185,2010,85568,Diesel,Dealer,Manual,First Owner,18.5,1399,18.5,5
0.45,2017,70000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5
0.16,2010,30000,Diesel,Individual,Manual,Second Owner,21.12,1248,21.12,5
0.25,2011,90000,Diesel,Individual,Manual,Third Owner,21.1,1248,73.9,5
0.36,2013,210000,Diesel,Individual,Manual,Third Owner,21.9,1396,88.76,5
0.141,2012,128000,Petrol,Individual,Manual,Third Owner,18.6,1199,18.6,5
0.065,2007,30000,Petrol,Individual,Manual,Second Owner,14.7,1150,14.7,5
0.45,2013,67000,Diesel,Dealer,Manual,Second Owner,28.4,1248,74,5
0.24,2010,143000,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,5
0.54,2018,7000,Petrol,Dealer,Manual,First Owner,20.3,1086,68,5
0.755,2017,20000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5
0.55,2009,250000,Diesel,Individual,Manual,First Owner,12.8,2494,102,7
0.25,2012,90000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5
0.2,2010,35000,Petrol,Individual,Manual,First Owner,19,998,67.1,5
0.246,2011,139000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,5
0.475,2016,45629,Petrol,Dealer,Automatic,First Owner,18.9,1197,81.86,5
0.36,2015,20000,Petrol,Individual,Manual,First Owner,19.81,1086,68.05,5
0.285,2008,60000,Petrol,Individual,Manual,Second Owner,15.3,1596,99.6,5
0.7,2017,80000,Diesel,Individual,Automatic,First Owner,28.4,1248,74.02,5
0.15,2009,60000,Petrol,Individual,Manual,Second Owner,18.9,1061,18.9,5
0.065,2006,100000,Petrol,Individual,Manual,Second Owner,19.7,796,19.7,5
0.525,2011,96000,Diesel,Individual,Manual,First Owner,12.05,2179,120,8
0.16,2013,110000,Diesel,Individual,Manual,First Owner,19.4,1405,19.4,5
0.425,2014,80000,Petrol,Individual,Manual,Third Owner,16.02,1373,93.7,7
0.6,2010,100875,Diesel,Individual,Automatic,First Owner,11.79,2179,120,8
0.31,2013,145000,Diesel,Individual,Manual,First Owner,15.3,2956,83.83,7
0.285,2010,265000,Diesel,Individual,Manual,Fourth & Above Owner,14.8,2499,80,9
1.1,2010,102000,Diesel,Dealer,Automatic,First Owner,19.62,1995,187.74,5
0.45,2016,100000,Diesel,Individual,Manual,Second Owner,24.2,1498,98.6,7
0.55,2015,130000,Diesel,Individual,Manual,Second Owner,20.45,1461,83.8,5
2.475,2018,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150,5
0.29,2013,40000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5
0.175,2007,218463,Petrol,Individual,Automatic,First Owner,12.9,1799,12.9,5
0.15,1999,198000,Diesel,Individual,Manual,Second Owner,14.8,1998,14.8,5
0.655,2017,50000,Diesel,Individual,Automatic,First Owner,22,1498,108.495,5
0.3,2010,135000,Diesel,Individual,Manual,Second Owner,17.8,1248,75,5
1.85,2014,76131,Diesel,Individual,Automatic,First Owner,13.22,2967,241.4,5
1.7,2016,110000,Diesel,Individual,Manual,Second Owner,13.68,2393,147.8,7
0.53,2013,92500,Diesel,Individual,Manual,First Owner,22.32,1582,126.3,5
0.13,2011,54000,Diesel,Individual,Manual,Second Owner,18.4,1248,18.4,5
0.405,2015,100000,Diesel,Individual,Manual,First Owner,25.2,1248,74,5
0.5,2019,15000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5
0.15,2007,75000,Petrol,Individual,Manual,First Owner,19.7,796,19.7,5
0.21,2013,50000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5
0.7,2016,110000,Diesel,Individual,Manual,Second Owner,24.3,1248,88.5,5
0.14,2008,120000,Diesel,Individual,Manual,Second Owner,19.09,1396,19.09,5
0.65,2014,90000,Diesel,Individual,Manual,First Owner,20.77,1248,88.8,7
0.395,2014,140000,Diesel,Individual,Manual,First Owner,14,2489,95,8
0.229999,2008,120000,Petrol,Individual,Manual,Second Owner,17,1497,118,5
0.8,2017,60000,Diesel,Individual,Manual,Second Owner,16.55,2498,105,6
0.28,2015,28000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5
0.325,2015,50000,Petrol,Individual,Automatic,First Owner,19.34,1198,76,5
0.325,2013,178000,Diesel,Individual,Manual,First Owner,15.96,2523,63,9
0.15,2010,70000,Diesel,Individual,Manual,Third Owner,15.7,1405,15.7,5
0.33,2014,23000,Petrol,Individual,Manual,First Owner,18.2,1199,82.4,5
0.135,2012,120000,Diesel,Individual,Manual,Second Owner,19,1405,19,5
1.2,2018,40000,Diesel,Individual,Manual,First Owner,22,1582,126.2,5
0.17,2010,110000,Diesel,Individual,Manual,Second Owner,17,1405,17,5
1.05,2006,250000,Diesel,Individual,Manual,First Owner,12.8,2494,102,7
0.421,2017,59500,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,5
0.21,2015,80000,Petrol,Individual,Manual,First Owner,20.63,1198,67.06,5
0.2,2011,91000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5
0.225,2013,58343,Petrol,Dealer,Manual,First Owner,21.79,998,67.05,5
0.645,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5
0.14,2012,80000,Diesel,Individual,Manual,Fourth & Above Owner,19.09,1396,19.09,5
0.5,2013,87000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5
0.8,2015,90000,Diesel,Individual,Manual,Second Owner,25.1,1498,98.6,5
0.07,2004,70000,Petrol,Individual,Manual,Second Owner,19.7,796,19.7,5
0.3,2017,60000,Petrol,Individual,Manual,First Owner,20.3,998,68.05,5
0.029999,1997,80000,Petrol,Individual,Manual,Third Owner,16.1,796,16.1,4
0.54,2016,38000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
0.35,2010,80000,Petrol,Individual,Manual,First Owner,17,1197,80,5
0.1,2006,120000,Diesel,Individual,Manual,Third Owner,16.1,1405,16.1,5
0.375,2014,88000,Diesel,Individual,Manual,Second Owner,25.2,1248,74,5
0.194,2010,577414,Petrol,Individual,Manual,Second Owner,18.9,1061,67,5
0.511,2015,30000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5
0.225,2010,120000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5
0.15,2009,110000,Petrol,Individual,Manual,First Owner,15,1586,15,5
0.05,2008,120000,Diesel,Individual,Manual,Third Owner,17.5,1396,17.5,5
1.025,2018,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497,108.5,5
0.7,2017,43000,Petrol,Dealer,Manual,First Owner,15.4,1497,117.3,7
0.45,2015,60000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
0.49,2016,80000,Diesel,Individual,Manual,First Owner,18.2,1248,73.74,8
0.7,2015,30000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,5
0.65,2016,81000,Diesel,Dealer,Manual,Second Owner,28.09,1248,88.5,5
0.919999,2015,140000,Diesel,Individual,Manual,First Owner,16,2179,140,7
0.83,2017,35000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
0.229999,2014,60000,Petrol,Individual,Manual,Second Owner,20.92,998,67.1,5
0.565,2016,70000,Diesel,Individual,Manual,Second Owner,25.2,1248,74,5
0.65,2015,110000,Diesel,Individual,Manual,Third Owner,20.77,1248,88.76,7
0.145,2009,30000,Petrol,Individual,Manual,First Owner,18,995,18,5
2,2016,68089,Petrol,Dealer,Automatic,First Owner,19.16,2494,157.7,5
